key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords
33e3780b-d539-4e5e-b82f-1662b5941a9e	The Lepidoptera collection (EL) of the Muséum national d'Histoire naturelle (MNHN - Paris)	2cd829bb-b713-433d-99cf-64bef11e5b3e	MNHN - Museum national d'Histoire naturelle	
f6a07b42-1d2c-11e2-8fd4-00145eb45e9a	Collection Paleontology - GPIT	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
858af49a-f762-11e1-a439-00145eb45e9a	Phytopathogenic Fungi Observed by Hans and Hanna Doppelbaur	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
86b91ba1-4b24-447d-b11c-834edfca6d31	Jardin Botanique de Lyon	02fce6f4-8dcd-4eaf-afe9-28ba30822751	Récolnat	
84329256-f762-11e1-a439-00145eb45e9a	Herbarium of Jyväskylä University Museum	ff3a2000-b2ac-11db-b710-b8a03c50a862	Jyväskylä University Museum	
c711c16e-8db5-4f66-aa06-03d9e472fbbc	The Fungal, Lichen and Plant Collections at the Herbarium Marburgense	0674aea0-a7e1-11d8-9534-b8a03c50a862	Staatliche Naturwissenschaftliche Sammlungen Bayerns	
646858f7-8620-4124-9405-279539aec76c	Herbarium specimens of Société des Sciences Naturelles et Mathématiques de Cherbourg (CHE)	dca4d666-c9e0-4712-b658-0d1bc3f39d48	Société des Sciences Naturelles et Mathématiques de Cherbourg	
7b8964ea-f762-11e1-a439-00145eb45e9a	Collection Vermes - ZMB	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
7b84c0a2-f762-11e1-a439-00145eb45e9a	Collection Crustacea - ZMB	c76cf030-2a95-11da-9cc1-b8a03c50a862	Senckenberg	
79673413-746f-48f2-bd8a-7cf27807317e	Insect Collection from the Museu Nacional de História Natural e da Ciência, Universidade de Lisboa, Portugal	315127e0-d7bb-11db-9885-b8a03c50a862	Museu Nacional de História Natural e da Ciência	
