key	title	publishingOrganizationKey	publishingOrganizationTitle	matched_keywords	total_species	worms_species	worms_percentage	total_occurrences
a1b714c8-c81b-480d-b09a-16908180f2eb	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Lola ANTOINE	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	7	5	71.42857142857143	20
4f04ce6a-7280-44a4-91d8-9b94ad709f96	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Lilian HACQUIN	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	2	2	100	2
2069438e-6401-4907-b0e4-461198167b05	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de John HOLLIDAY	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	4	3	75	10
c33b92d0-e5f8-4658-ad5e-0a9e28e4f3b8	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Florence MATUTINI	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	3	3	100	4
4411fe8e-422a-4f08-b4e2-1c0de0c8f0b5	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Accompagnement rénovation bâtiments - Rodolphe Majurel	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	3	3	100	6
ab2db335-64a1-4de8-949b-3a8c51d8f6d9	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Alix HADDAD	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	1
b224bdf5-b23b-47df-9e78-eb1c4e2d4a9e	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Anya COCKLE	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	12	10	83.33333333333334	66
ad0cae7f-3d13-427f-96d2-ad6c2828d29c	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Bruno LEROUX	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	1
4b8bbd52-e878-42db-91ab-928212e66e69	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Fabien FERNANDEZ	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	1
c5315fed-b663-44f6-982c-75e6c6b35830	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Sébastien GEORGEL	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	2
86ca88ba-de3d-4b25-a7cf-08795270822c	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Sandra DERVAUX	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	1	1	100	2
4d754d9c-816b-4a76-bc8d-e093ccf264f9	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de FONDERFLICK Jocelyn	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	18	13	72.22222222222221	1209
c4f413d6-1897-4e6e-97d4-9e3b5097b2c3	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de RUFRAY Vincent	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	27	20	74.07407407407408	1288
f733e216-d50a-470b-a0c8-c35a80141bdc	Distribución histórica, prospección actual y áreas potenciales para reintroducir lobo mexicano (Canis lupus baileyi) en Durango, sur de la Sierra Madre Occidental, México	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	1	1	100	599
4206d4eb-b6a5-4e25-9063-ee55e4007d81	Cerdos asilvestrados (Sus scrofa) en la Reserva de la Biosfera Sierra La Laguna: Evaluación e impacto sobre la biodiversidad	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	1	1	100	25
fbe3e186-903e-44a4-b069-3c4790ca9e96	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données personnelles de Ambroise MARTIN-CHAVE	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	9	7	77.77777777777779	13
b6c86ae8-2383-477a-afd7-81289269d45e	Observations naturalistes indépendantes d'origine privée partagées sur la base de données Kollect Nouvelle-Aquitaine-Observations faunistiques de Nicolas PINCZON DU SEL	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	71	52	73.23943661971832	212
641c9f19-3928-4c02-ad59-6240b0dc0b40	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Etude Grande Noctule en Montagne Noire Audoise	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	11	8	72.72727272727273	82
d18a7995-f724-4e27-a538-82186e2b0e17	Données produites ou récoltées par le GCLR dans le cadre  de ses activités (sans métadonnées)-Données transmises par l’Office National des Forêts	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	21	16	76.19047619047619	458
f37b8e67-30aa-4dc6-b6fe-40929be259eb	Avian diversity study of Kharibari Wetland and its adjacent Bheries, Kamduni, North 24 Parganas, West Bengal, India	ba5d0858-075a-430b-b314-ff1debdfb6ec	Nature Mates-Nature Club	NA	56	50	89.28571428571429	56
39105539-8e18-43ea-a56b-9d7bccd59c41	Peces asociados a fuentes hídricas del corregimiento de Capurganá, municipio de Acandí. 2015	e1050db2-9faf-4d72-b860-295debaf9d2a	Instituto de Investigaciones Ambientales del Pacífico John Von Neumann - IIAP	NA	4	4	100	19
8005e570-f762-11e1-a439-00145eb45e9a	Peces y Mamíferos de la región de Norogachi, Alta Sierra Tarahumara, Chihuahua (Peces)	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	47	46	97.87234042553192	589
e8df6d79-7d90-4216-a3f6-382ddf2d0d6c	Avian diversity study (water birds) of Kamarganti Bheries, Haroa, North 24 parganas, West Bengal, India during winter season	ba5d0858-075a-430b-b314-ff1debdfb6ec	Nature Mates-Nature Club	sea	42	37	88.09523809523809	42
994a7d7c-a974-46fa-9240-1c2a8393dbc8	Inventario de larvas de peces en la región sur del Golfo de California (GAP 81, 85 y 86) y en el Pacífico Tropical Mexicano (GAP 88-91)	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	185	185	100	4036
ca0a1e05-9dee-41fa-9ace-3dbb745a9824	Records of the European pond turtle Emys orbicularis on the DE-FR cross-bordering Neu-Woerr site (Lauterbourg and Neuburg-am-Rhein) by the Emys-R and SEE-Life Neu-Woerr projects	ca2fd897-6108-4361-91f8-b39dc8d12d13	Ukrainian Nature Conservation Group (NGO)	NA	1	1	100	5148
6a6ba4bc-194e-47e0-a5d0-00d83b57109d	Photo   images, 3D/CT data and mtDNA of the freshwater mussels (Bivalvia: Unionidae) in the Kyushu and Ryukyu Islands, Japan, with SEM/EDS analysis of the shell	750a8724-fa66-4c27-b645-bd58ac5ee010	Biodiversity Data Journal	NA	9	8	88.88888888888889	61
10ceb6bb-6733-4858-b78a-aaba792e3fe4	Variabilidad genética en las poblaciones naturales de la almeja catarina Argopecten ventricosus-circularis (Sowerby II, 1842)	ff90b050-c256-11db-b71b-b8a03c50a862	Comisión nacional para el conocimiento y uso de la biodiversidad	NA	1	1	100	173
50f84c07-454b-4e7f-ba5b-70688ccb8997	Folgen eines Klimawandels für die biogene Sandstabilisierung in Küstendünen	98dbab03-09e5-4ceb-988e-04f3e803decb	Edaphobase	NA	14	14	100	739
9e612c65-7478-440c-ad61-040d7ff13441	Programme 2019 d’amélioration des connaissances sur la répartition des populations de Margaritifera auricularia (Grande Mulette) présentes sur la Dronne aval et ses affluents principaux mené par le CEN Aquitaine-Observations faunistiques fortuites réalisées par Caracol	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris	NA	4	3	75	6
